order_id,customer_id,seller_id,product_ids,product_category,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date,shipping_limit_date,delivery_time_hours,price,freight_value,item_count,total_weight_kg,total_volume_l,customer_city,customer_state,customer_lat,customer_long,seller_city,seller_state,seller_lat,seller_long,distance_km,purchase_hour,purchase_weekday,purchase_month,is_promo,is_holiday,seller_median_delivery_days
O1000001,C10000,S0079,"P00788,P00462,P00303,P00696",toys,27-05-2024 22.54,18-06-2024 1.48,19-06-2024 18.07,14-06-2024 22.54,63,266.92,51.64,4,6.07,17.247,Goa,Goa,15.19481,74.460536,Nagpur,Maharashtra,21.446271,79.103019,850.31,22,0,5,0,0,5.97
O1000002,C10001,S0149,"P00777,P00059,P00733",automotive,21-03-2024 6.36,27-03-2024 10.31,26-03-2024 11.42,24-03-2024 6.36,30,245.32,60.88,3,5.977,18.554,Bengaluru,Karnataka,13.292484,78.204692,Chennai,Tamil Nadu,13.026343,80.069477,204.07,6,3,3,0,0,2.19
O1000003,C10002,S0257,P00371,beauty,14-08-2024 0.53,15-09-2024 2.11,21-09-2024 11.23,13-09-2024 0.53,91,50.97,42.3,1,1.002,16.094,Coimbatore,Tamil Nadu,11.852701,77.394014,Kanpur,Uttar Pradesh,26.506416,80.574646,1663.06,0,2,8,1,0,2.66
O1000004,C10003,S0122,"P00002,P00090,P00353,P00161",books,27-10-2024 6.08,11-11-2024 3.52,14-11-2024 8.07,09-11-2024 6.08,54,310.63,104.67,4,6.545,7.743,Lucknow,Uttar Pradesh,26.494431,80.2331,Nagpur,Maharashtra,21.332936,79.342511,581.02,6,6,10,0,0,5.18
O1000005,C10004,S0109,P00601,beauty,23-11-2024 8.39,21-12-2024 9.32,26-12-2024 14.31,18-12-2024 8.39,82,163.5,38.12,1,1.414,2.74,Surat,Gujarat,21.39642,72.263482,Coimbatore,Tamil Nadu,11.287928,76.629356,1216.43,8,5,11,0,0,5.49
O1000006,C10005,S0035,"P00418,P00354",automotive,19-12-2024 5.55,01-01-2025 16.51,02-01-2025 22.17,30-12-2024 5.55,48,97.91,50.84,2,6.016,13.858,Jaipur,Rajasthan,27.74966,76.464635,Bhopal,Madhya Pradesh,23.302719,77.163452,499.42,5,3,12,1,0,3.17
O1000007,C10006,S0148,"P00563,P00713",beauty,21-08-2024 5.48,16-09-2024 10.35,21-09-2024 0.46,13-09-2024 5.48,77,176.48,60.24,2,9.523,32.186,Lucknow,Uttar Pradesh,28.326568,81.704512,Pune,Maharashtra,18.447832,73.520336,1378.92,5,2,8,1,0,1.7
O1000008,C10007,S0267,"P00007,P00458,P00011,P00303",books,11-04-2024 7.28,22-04-2024 21.50,25-04-2024 14.53,21-04-2024 7.28,47,382.91,79.29,4,15.074,73.796,Nagpur,Maharashtra,21.394331,78.23539,Vadodara,Gujarat,22.559717,73.217423,533.37,7,3,4,0,0,2.82
O1000009,C10008,S0266,"P00132,P00053,P00259",beauty,04-09-2024 3.53,03-10-2024 2.36,07-10-2024 4.34,30-09-2024 3.53,81,156.56,71.79,3,14.351,92.864,Kolkata,West Bengal,21.985049,88.357193,Jaipur,Rajasthan,27.098918,76.123518,1360.85,3,2,9,0,0,4
O1000010,C10009,S0214,P00420,toys,01-05-2024 4.49,23-05-2024 1.00,23-05-2024 4.50,20-05-2024 4.49,61,69.7,28.76,1,0.328,3.385,Nagpur,Maharashtra,21.458433,78.98104,Chennai,Tamil Nadu,13.037773,80.07686,943.52,4,2,5,0,0,4.48
